day;timestamp;buyer;seller;symbol;currency;price;quantity;timestamp_in_day
-2;1000;;;INTARIAN_PEPPER_ROOT;XIRECS;9995.0;7;1000
-2;4000;;;INTARIAN_PEPPER_ROOT;XIRECS;10007.0;7;4000
-2;10500;;;INTARIAN_PEPPER_ROOT;XIRECS;10013.0;5;10500
-2;12600;;;INTARIAN_PEPPER_ROOT;XIRECS;10018.0;3;12600
-2;15000;;;INTARIAN_PEPPER_ROOT;XIRECS;10021.0;7;15000
-2;15600;;;INTARIAN_PEPPER_ROOT;XIRECS;10021.0;3;15600
-2;20200;;;INTARIAN_PEPPER_ROOT;XIRECS;10026.0;6;20200
-2;21500;;;INTARIAN_PEPPER_ROOT;XIRECS;10027.0;4;21500
-2;22600;;;INTARIAN_PEPPER_ROOT;XIRECS;10019.0;3;22600
-2;22600;;;INTARIAN_PEPPER_ROOT;XIRECS;10019.0;4;22600
-2;28200;;;INTARIAN_PEPPER_ROOT;XIRECS;10034.0;6;28200
-2;29300;;;INTARIAN_PEPPER_ROOT;XIRECS;10021.0;6;29300
-2;29400;;;INTARIAN_PEPPER_ROOT;XIRECS;10035.0;7;29400
-2;32800;;;INTARIAN_PEPPER_ROOT;XIRECS;10038.0;3;32800
-2;35200;;;INTARIAN_PEPPER_ROOT;XIRECS;10032.0;5;35200
-2;37900;;;INTARIAN_PEPPER_ROOT;XIRECS;10040.0;4;37900
-2;38600;;;INTARIAN_PEPPER_ROOT;XIRECS;10033.0;6;38600
-2;42500;;;INTARIAN_PEPPER_ROOT;XIRECS;10037.0;3;42500
-2;45900;;;INTARIAN_PEPPER_ROOT;XIRECS;10038.0;6;45900
-2;46400;;;INTARIAN_PEPPER_ROOT;XIRECS;10049.0;4;46400
-2;52900;;;INTARIAN_PEPPER_ROOT;XIRECS;10049.0;6;52900
-2;53000;;;INTARIAN_PEPPER_ROOT;XIRECS;10049.0;6;53000
-2;53800;;;INTARIAN_PEPPER_ROOT;XIRECS;10048.0;4;53800
-2;55300;;;INTARIAN_PEPPER_ROOT;XIRECS;10052.0;7;55300
-2;57200;;;INTARIAN_PEPPER_ROOT;XIRECS;10060.0;8;57200
-2;60900;;;INTARIAN_PEPPER_ROOT;XIRECS;10066.0;6;60900
-2;61700;;;INTARIAN_PEPPER_ROOT;XIRECS;10064.0;5;61700
-2;64800;;;INTARIAN_PEPPER_ROOT;XIRECS;10059.0;7;64800
-2;72400;;;INTARIAN_PEPPER_ROOT;XIRECS;10067.0;5;72400
-2;73400;;;INTARIAN_PEPPER_ROOT;XIRECS;10079.0;3;73400
-2;86600;;;INTARIAN_PEPPER_ROOT;XIRECS;10083.0;3;86600
-2;88100;;;INTARIAN_PEPPER_ROOT;XIRECS;10094.0;6;88100
-2;89000;;;INTARIAN_PEPPER_ROOT;XIRECS;10095.0;6;89000
-2;91200;;;INTARIAN_PEPPER_ROOT;XIRECS;10086.0;5;91200
-2;91900;;;INTARIAN_PEPPER_ROOT;XIRECS;10084.0;7;91900
-2;98600;;;INTARIAN_PEPPER_ROOT;XIRECS;10101.0;3;98600
-2;102000;;;INTARIAN_PEPPER_ROOT;XIRECS;10096.0;7;102000
-2;108200;;;INTARIAN_PEPPER_ROOT;XIRECS;10114.0;6;108200
-2;114500;;;INTARIAN_PEPPER_ROOT;XIRECS;10120.0;4;114500
-2;117700;;;INTARIAN_PEPPER_ROOT;XIRECS;10114.0;8;117700
-2;123300;;;INTARIAN_PEPPER_ROOT;XIRECS;10129.0;4;123300
-2;129400;;;INTARIAN_PEPPER_ROOT;XIRECS;10132.0;5;129400
-2;130000;;;INTARIAN_PEPPER_ROOT;XIRECS;10124.0;4;130000
-2;131400;;;INTARIAN_PEPPER_ROOT;XIRECS;10139.0;5;131400
-2;134600;;;INTARIAN_PEPPER_ROOT;XIRECS;10129.0;5;134600
-2;136200;;;INTARIAN_PEPPER_ROOT;XIRECS;10139.0;7;136200
-2;141800;;;INTARIAN_PEPPER_ROOT;XIRECS;10136.0;5;141800
-2;144100;;;INTARIAN_PEPPER_ROOT;XIRECS;10136.0;3;144100
-2;148600;;;INTARIAN_PEPPER_ROOT;XIRECS;10154.0;7;148600
-2;149300;;;INTARIAN_PEPPER_ROOT;XIRECS;10144.0;3;149300
-2;155500;;;INTARIAN_PEPPER_ROOT;XIRECS;10152.0;4;155500
-2;156300;;;INTARIAN_PEPPER_ROOT;XIRECS;10151.0;3;156300
-2;156800;;;INTARIAN_PEPPER_ROOT;XIRECS;10159.0;3;156800
